page path;publishDate;cq:lastModified;cq:styleIds;linkItems;listFrom;maxItems;maxOnPageItems;orderBy;pages;paginationType;parentPage;childDepth;rss;showDescription;showEyebrow;showImage;showModificationDate;sortOrder;tags;tagsMatch;tagsSearchRoot
/content/usta-foundation/en/home/news/usta-foundation-exceeds-goal-rally-to-rebuild-campaign;;2026-05-06T15:09:18.071Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-pledges-800-000-service-hours-in-support-of-mart;;2026-05-06T15:14:30.134Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/leylah-fernandez-partners-with-usta-socal-and-bgcmla-for-youth-c;;2026-05-06T15:11:08.341Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/laver-cup-community-legacy-project-celebrates-court-unveiling-at;;2026-05-06T15:13:52.137Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;tags;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/who-we-are/usta-foundation;any;/content/usta/en/home/stay-current/national
/content/usta-foundation/en/home/news/kimmelman-sport-education-complex-los-angeles;;2026-05-06T15:03:53.352Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation-announces-sloane-stephens-as-recipient-of-servin;2026-07-09T00:00:00.000-04:00;2026-07-09T13:34:43.159Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/newport-njtl-honor-chris-evert;;2026-05-06T15:03:41.871Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/njtl-ace-jabeiro-brown;;2026-05-06T15:07:42.932Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/2023-njtl-essay-contest-winners;;2026-05-06T15:01:03.236Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;1;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/kyrgios-sock-njtl-clinic-laver-cup-boston;;2026-05-06T15:08:33.544Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/what-s-the-why--former-atp--wta-pros-open-up-on-their-support-of;;2026-05-06T15:11:42.513Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/delray-beach-youth-tennis-foundation-athletes-hit-the-court-with;;2026-05-06T15:10:35.801Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/tiafoe-houston-youth-clinic;;2026-05-06T15:06:02.739Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/excellence-program-alumna-robin-montgomery-reaches-first-wta-sem;;2026-05-06T15:11:20.256Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/usta-foundation--offline-by-aerie---and-the-aerie-real-foundatio;2026-08-20T00:00:00.000-04:00;2026-08-20T18:16:45.868Z;list-horizontal-layout, min-4-columns, max-4-columns;TRUE;tags;4;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;usta:categories/about-usta/usta-foundation;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/james-blake-30th-anniversary-usta-foundation;;2026-05-06T15:06:33.974Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/-daymond-john-and-matt-ebert-share-wisdom-with-usta-foundation-s;;2026-05-06T15:14:06.471Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;static;3;9;modified;/content/usta-foundation/en/home/news/usta-foundation-launches-community-impact-hub-initiative, /content/usta-foundation/en/home/news/usta-foundation-scholarship-recipients-meet-billie-jean-king-at-, /content/usta-foundation/en/home/news/usta-foundation-launches-williams-family-excellence-program-at-2;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;FALSE;desc;;all;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/sloane-stephens-honored-by-sports-business-journal;;2026-05-06T15:09:52.079Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
/content/usta-foundation/en/home/news/chris-evert-honored-espn-sports-humanitarian-awards;;2026-05-06T15:06:55.752Z;list-horizontal-layout, min-3-columns, max-3-columns;TRUE;children;3;9;modified;;more;/content/usta-foundation/en/home/news;2;FALSE;TRUE;FALSE;TRUE;TRUE;asc;;any;/content/usta-foundation/en/home/news
